Date_fcx,fcx_volume,fcx_price,Date_nktr,nktr_volume,nktr_price
21-05-2021,20823746,33.34725,21-05-2021,600806,14.81421
20-05-2021,23677492,33.48418,20-05-2021,1100594,14.85513
19-05-2021,42376357,33.09698,19-05-2021,964871,15.11752
18-05-2021,24144214,35.4448,18-05-2021,891011,14.83998
17-05-2021,25784575,36.07172,17-05-2021,1083736,14.9638
14-05-2021,21487570,34.58264,14-05-2021,555558,15.63813
13-05-2021,36123964,34.48291,13-05-2021,939464,15.61258
12-05-2021,40183145,35.16452,12-05-2021,864569,15.39035
11-05-2021,40448922,36.55388,11-05-2021,909608,15.85827
10-05-2021,53054579,34.88739,10-05-2021,976015,16.22666
07-05-2021,32390386,35.91504,07-05-2021,2918379,16.54185
06-05-2021,25202208,34.65112,06-05-2021,1443829,15.36929
05-05-2021,37185793,34.37434,05-05-2021,736613,15.57445
04-05-2021,26489196,32.38972,04-05-2021,792317,15.6432
03-05-2021,22861624,31.87571,03-05-2021,1052522,16.31129
30-04-2021,13696442,31.11939,30-04-2021,695180,16.30498
29-04-2021,18860186,31.45083,29-04-2021,719024,16.57864
28-04-2021,18574642,32.30355,28-04-2021,640890,16.74938
27-04-2021,19766599,31.81173,27-04-2021,543185,16.64319
26-04-2021,27041602,32.05993,26-04-2021,553934,16.86657
23-04-2021,22572903,30.02903,23-04-2021,786110,16.29544
22-04-2021,23923777,28.71143,22-04-2021,761235,16.73745
21-04-2021,21914285,29.62326,21-04-2021,888541,16.40339
20-04-2021,20581238,29.60184,20-04-2021,579091,15.63591
19-04-2021,21560541,30.77765,19-04-2021,787938,15.61721
16-04-2021,19010522,31.59508,16-04-2021,1681656,15.85844
15-04-2021,27185750,31.36446,15-04-2021,886593,16.17242
14-04-2021,35697637,30.06908,14-04-2021,1053076,15.96996
13-04-2021,10889717,27.98013,13-04-2021,642295,15.65589
12-04-2021,15141251,27.98192,12-04-2021,645351,15.6764
09-04-2021,14028574,28.32745,09-04-2021,836082,15.65546
08-04-2021,15831362,28.54929,08-04-2021,777605,16.13823
07-04-2021,16292888,28.32036,07-04-2021,632198,16.51237
06-04-2021,22081134,29.24279,06-04-2021,697427,17.07996
05-04-2021,19365248,29.63512,05-04-2021,480150,16.99391
01-04-2021,16423757,28.39751,01-04-2021,791417,17.32778
31-03-2021,15946036,27.75357,31-03-2021,1197135,17.02128
30-03-2021,17474736,27.61808,30-03-2021,743047,16.6496
29-03-2021,19461679,26.99889,29-03-2021,529296,16.62137
26-03-2021,23769226,27.6846,26-03-2021,608243,16.95505
25-03-2021,38038214,26.16399,25-03-2021,880938,17.26115
24-03-2021,27289027,26.46762,24-03-2021,736179,16.7329
23-03-2021,40041525,26.89342,23-03-2021,1068532,17.399
22-03-2021,21113505,29.0322,22-03-2021,725743,18.74058
19-03-2021,33270620,29.09602,19-03-2021,1772861,18.19632
18-03-2021,25513398,29.4042,18-03-2021,819756,18.52628
17-03-2021,31499300,30.02988,17-03-2021,984125,19.38193
16-03-2021,21242420,29.11068,16-03-2021,829844,18.49114
15-03-2021,18337790,30.68522,15-03-2021,720661,18.86318
12-03-2021,19752503,31.01512,12-03-2021,601149,19.09943
11-03-2021,25590506,30.9943,11-03-2021,578833,18.86903
10-03-2021,20367764,28.6577,10-03-2021,653193,18.55895
09-03-2021,24411817,28.21085,09-03-2021,925299,18.37876
08-03-2021,24959359,28.75591,08-03-2021,943432,17.8966
05-03-2021,31506964,29.11363,05-03-2021,1286625,18.72901
04-03-2021,38045332,26.99906,04-03-2021,2152926,18.65933
03-03-2021,18613206,28.71612,03-03-2021,776245,19.42005
02-03-2021,21625495,28.8399,02-03-2021,1336530,19.65232
01-03-2021,21592659,28.70303,01-03-2021,1461671,19.61631
26-02-2021,37782546,27.79878,26-02-2021,1742517,18.78311
25-02-2021,25657145,28.93126,25-02-2021,1092859,18.37386
24-02-2021,25156615,30.9029,24-02-2021,832681,18.75309
23-02-2021,26070159,30.86011,23-02-2021,1264270,18.54932
22-02-2021,33293474,30.99915,22-02-2021,1526050,18.3395
19-02-2021,40020239,30.61449,19-02-2021,1104258,20.54919
18-02-2021,18741320,27.9827,18-02-2021,1327729,20.73332
17-02-2021,27535851,28.07688,17-02-2021,5317825,21.1374
16-02-2021,28964873,26.90621,16-02-2021,1380209,18.54819
12-02-2021,12012407,25.51096,12-02-2021,1217054,18.85672
11-02-2021,15555467,25.30656,11-02-2021,902955,18.75979
10-02-2021,39036546,25.48759,10-02-2021,1572874,19.11353
09-02-2021,18609833,26.19518,09-02-2021,1334851,18.67823
08-02-2021,17556020,26.4035,08-02-2021,1260652,17.44003
05-02-2021,33126382,26.10241,05-02-2021,1265242,16.76358
04-02-2021,16730747,24.67253,04-02-2021,1991509,17.22264
03-02-2021,19500414,24.0431,03-02-2021,2264780,16.5461
02-02-2021,17952320,23.18572,02-02-2021,1881948,16.25759
01-02-2021,22619569,23.1616,01-02-2021,2984355,17.14167
29-01-2021,20156510,21.96576,29-01-2021,4357500,16.23805
28-01-2021,26791415,22.69717,28-01-2021,1880444,15.20825
27-01-2021,37297927,21.07586,27-01-2021,2226393,15.49761
26-01-2021,33161629,22.00205,26-01-2021,1169681,15.0037
25-01-2021,29254146,23.63011,25-01-2021,1235708,14.60683
22-01-2021,17457125,24.8164,22-01-2021,681267,13.61059
21-01-2021,16883304,24.48636,21-01-2021,916372,13.71306
20-01-2021,17343246,25.33201,20-01-2021,952112,13.96713
19-01-2021,19517787,25.90733,19-01-2021,1229706,14.20675
15-01-2021,19927619,24.85156,15-01-2021,2358317,14.04002
14-01-2021,21668139,26.03942,14-01-2021,1400425,14.63094
13-01-2021,19828162,24.87747,13-01-2021,700587,15.06782
12-01-2021,21250051,25.20679,12-01-2021,963964,15.63039
11-01-2021,22259226,24.67804,11-01-2021,1151914,15.40232
08-01-2021,27541652,25.22505,08-01-2021,749550,15.70856
07-01-2021,29770946,25.16511,07-01-2021,660800,15.16387
06-01-2021,40670419,24.28435,06-01-2021,1079280,14.25319
05-01-2021,26109102,22.84121,05-01-2021,940151,14.61789
04-01-2021,31398591,21.93473,04-01-2021,1240254,14.4128
31-12-2020,16527916,21.07771,31-12-2020,1902918,13.90593
30-12-2020,32166972,21.37891,30-12-2020,817661,14.59842
29-12-2020,9894848,20.013,29-12-2020,1118149,14.90769
28-12-2020,10089486,19.98278,28-12-2020,1106346,15.29576
24-12-2020,5107713,20.15056,24-12-2020,286424,15.14405
23-12-2020,13462648,20.20083,23-12-2020,639765,15.18832
22-12-2020,13347521,19.72458,22-12-2020,984094,15.38398
21-12-2020,13488791,20.11993,21-12-2020,727798,15.24191
18-12-2020,23159114,19.93216,18-12-2020,3128664,15.32238
17-12-2020,13306144,19.96746,17-12-2020,1504694,15.52202
16-12-2020,13379204,19.84823,16-12-2020,1163878,14.51229
15-12-2020,11708130,19.788,15-12-2020,1121739,15.155
14-12-2020,15435953,19.38562,14-12-2020,1232302,14.50897
11-12-2020,14650274,20.11321,11-12-2020,596249,13.81943
10-12-2020,17239031,20.3125,10-12-2020,444145,13.86139
09-12-2020,16007304,20.06514,09-12-2020,712859,13.74254
08-12-2020,12594041,20.00209,08-12-2020,761539,14.26331
07-12-2020,19790714,20.0622,07-12-2020,505201,14.2916
04-12-2020,31953974,20.43545,04-12-2020,556544,14.32806
03-12-2020,24569812,19.88582,03-12-2020,605010,14.05401
02-12-2020,18433584,19.71911,02-12-2020,938998,14.28512
01-12-2020,20482461,19.43594,01-12-2020,1094045,13.67372
30-11-2020,25715214,19.37679,30-11-2020,1004730,13.71089
27-11-2020,12314349,19.4796,27-11-2020,336609,14.04198
25-11-2020,19468244,19.56324,25-11-2020,643552,13.83014
24-11-2020,35904547,19.27544,24-11-2020,999644,14.0571
23-11-2020,21932307,18.32394,23-11-2020,1134230,13.95997
20-11-2020,20378744,17.75248,20-11-2020,833383,14.13869
19-11-2020,13501311,17.64743,19-11-2020,529051,14.57876
18-11-2020,12593082,17.27803,18-11-2020,804408,14.41449
17-11-2020,17941922,17.55536,17-11-2020,799212,14.80233
16-11-2020,20641998,17.5614,16-11-2020,920555,14.31346
13-11-2020,20025795,16.86501,13-11-2020,584763,14.60342
12-11-2020,20909595,16.38184,12-11-2020,911580,14.52542
11-11-2020,18504297,16.42782,11-11-2020,1163083,14.53325
10-11-2020,17163744,16.60547,10-11-2020,1124570,14.24704
09-11-2020,40987967,16.58174,09-11-2020,1415393,14.45977
06-11-2020,17437618,15.93675,06-11-2020,1562434,14.66207
05-11-2020,17003990,15.79036,05-11-2020,1051168,14.30992
04-11-2020,21800109,15.21581,04-11-2020,1118687,14.4857
03-11-2020,21732740,15.87349,03-11-2020,1364617,13.46712
02-11-2020,15480249,15.53405,02-11-2020,1553784,13.86309
30-10-2020,14417098,14.74474,30-10-2020,1339112,13.60124
29-10-2020,17138303,14.84849,29-10-2020,1297799,13.90461
28-10-2020,26441566,14.21691,28-10-2020,1314648,13.53927
27-10-2020,15993689,14.83978,27-10-2020,1747232,13.93658
26-10-2020,24926860,14.54937,26-10-2020,947315,14.36188
23-10-2020,16469796,15.35239,23-10-2020,677515,14.81044
22-10-2020,21339169,15.37128,22-10-2020,940971,14.53223
21-10-2020,21426754,14.77854,21-10-2020,1192294,13.99276
20-10-2020,15762493,14.74517,20-10-2020,730802,14.51763
19-10-2020,15826661,14.40644,19-10-2020,743690,14.31845
16-10-2020,11012059,14.49234,16-10-2020,1897811,14.62582
15-10-2020,11602571,14.57039,15-10-2020,920756,15.12354
14-10-2020,9874298,14.2759,14-10-2020,1622883,14.92639
13-10-2020,12754684,14.1941,13-10-2020,764678,14.46954
12-10-2020,14085414,14.09438,12-10-2020,692320,14.6135
09-10-2020,15791209,14.43187,09-10-2020,502041,15.11461
08-10-2020,16492761,14.1531,08-10-2020,757962,15.42322
07-10-2020,28829703,14.19996,07-10-2020,623499,15.13761
06-10-2020,20309796,13.21403,06-10-2020,999609,14.59129
05-10-2020,15741285,13.7114,05-10-2020,1068086,14.66022
02-10-2020,23936226,13.471,02-10-2020,1042712,13.89316
01-10-2020,30596890,13.1112,01-10-2020,1313230,14.22733
30-09-2020,18614259,13.21295,30-09-2020,1479939,14.15287
29-09-2020,13625921,12.92497,29-09-2020,1578624,14.38916
28-09-2020,17461173,13.50867,28-09-2020,1566307,14.44749
25-09-2020,16654311,13.0403,25-09-2020,1336105,15.15621
24-09-2020,29015383,13.05903,24-09-2020,1145223,15.45914
23-09-2020,30695303,12.52176,23-09-2020,1035464,16.18868
22-09-2020,16426329,13.26712,22-09-2020,1497647,17.00273
21-09-2020,29936681,13.20001,21-09-2020,1142220,16.53181
18-09-2020,26836616,14.18762,18-09-2020,2004834,16.99815
17-09-2020,25035266,14.26555,17-09-2020,969475,17.20521
16-09-2020,27673250,14.04307,16-09-2020,900554,17.16386
15-09-2020,16686303,13.71024,15-09-2020,1184067,16.8818
14-09-2020,22376676,13.65235,14-09-2020,1400215,16.64279
11-09-2020,21087199,13.61165,11-09-2020,687249,15.8993
10-09-2020,20855405,13.16998,10-09-2020,650356,15.87114
09-09-2020,17462827,13.54064,09-09-2020,811426,15.96916
08-09-2020,19275008,13.19723,08-09-2020,1017762,15.63242
04-09-2020,21907019,13.40476,04-09-2020,1512221,15.98648
03-09-2020,18692333,13.02206,03-09-2020,1198314,16.18355
02-09-2020,23304357,13.59901,02-09-2020,714905,16.20527
01-09-2020,18885665,13.42633,01-09-2020,1208144,16.04659
31-08-2020,15362243,12.9425,31-08-2020,635807,16.19223
28-08-2020,16416825,13.03569,28-08-2020,834868,16.09891
27-08-2020,17636365,12.50776,27-08-2020,1121255,16.24989
26-08-2020,15336355,12.56283,26-08-2020,997459,16.43847
25-08-2020,9565546,12.12299,25-08-2020,839639,16.36895
24-08-2020,12816715,12.21924,24-08-2020,928239,16.23729
21-08-2020,11532460,12.07903,21-08-2020,909182,16.26603
20-08-2020,13829084,12.28054,20-08-2020,661655,16.18019
19-08-2020,28040596,12.45582,19-08-2020,791668,16.25695
18-08-2020,13580078,11.95556,18-08-2020,634868,16.32875
17-08-2020,12216339,11.76539,17-08-2020,867820,16.52342
14-08-2020,9307169,11.52071,14-08-2020,754054,16.50485
13-08-2020,18253377,11.55638,13-08-2020,688435,16.96708
12-08-2020,12009805,11.73205,12-08-2020,675250,17.04545
11-08-2020,18491208,11.74457,11-08-2020,740150,17.33073
10-08-2020,20166823,12.11644,10-08-2020,724845,18.16983
07-08-2020,21120322,11.74656,07-08-2020,1260292,18.56572
06-08-2020,32102024,12.13696,06-08-2020,865545,18.10606
05-08-2020,36936983,11.65201,05-08-2020,703900,18.31887
04-08-2020,17646482,10.88838,04-08-2020,752403,18.61097
03-08-2020,15975276,11.04168,03-08-2020,1130398,18.79309
31-07-2020,14629547,10.85118,31-07-2020,1062818,18.794
30-07-2020,17433290,10.856,30-07-2020,790177,19.71366
29-07-2020,13548294,11.18646,29-07-2020,994429,19.29676
28-07-2020,11826740,11.16456,28-07-2020,475567,19.7614
27-07-2020,15877672,11.4333,27-07-2020,501772,20.13623
24-07-2020,26054041,11.16689,24-07-2020,734517,19.8367
23-07-2020,21017357,11.35176,23-07-2020,453431,20.4475
22-07-2020,21831258,11.65054,22-07-2020,502468,20.7394
21-07-2020,17793590,11.50587,21-07-2020,460548,21.10976
20-07-2020,22039906,11.6266,20-07-2020,624802,21.48789
17-07-2020,14048058,11.76057,17-07-2020,882346,21.31176
16-07-2020,17611999,11.6919,16-07-2020,731100,21.00096
15-07-2020,21774723,11.74603,15-07-2020,832929,21.6183
